Name,Is Active,Facebook Page,Address,Capacity,Type,Lat,Long
1983,Active,https://www.facebook.com/Bar1983,"Vagonu iela 21, Latgales priekšpilsēta, Rīga, LV-1009",150,Bar,56.950119,24.150639
Ādmiņu 4,Active,https://www.facebook.com/rottensmilerec,"Ādmiņu iela 4, Latgales priekšpilsēta, Rīga, LV-1009",150,Pop-up Venue,56.948664,24.140233
Āgenskalna tirgus,Active,https://www.facebook.com/Atirgus,"Nometņu iela 64, Zemgales priekšpilsēta, Rīga, LV-1002",150,Market,56.935834,24.071932
Aleponija,Active,https://www.facebook.com/aleponija,"Ernesta Birznieka-Upīša iela 22, Latgales priekšpilsēta, Rīga, LV-1050",70,Bar,56.949414,24.130607
Angārs,Active,https://www.facebook.com/angars.streetfood,"Tallinas iela 10-3, Centra rajons, Rīga, LV-1001",600,Bar,56.964309,24.134795
Anglikāņu baznīca,Active,https://www.facebook.com/rigaanglican,"Anglikāņu iela 2, Centra rajons, Rīga, LV-1050",400,Church,56.949768,24.101936
Annas Dārzs,Active,https://www.facebook.com/AnnasDarzs,"Mūkusalas iela 44, Zemgales priekšpilsēta, Rīga, LV-1004",50,Cafe,56.934312,24.104803
Ansamblis,Active,https://www.facebook.com/Picerijaansamblis,"Robežu iela 38, Rīga, LV-1004",70,Cafe,56.922249,24.077711
Aristīds,Inactive,,"Aristida Briāna iela 7, Centra rajons, Rīga, LV-1001",n/a,Club,56.9639,24.129053
Auss,Active,https://www.facebook.com/aussbars,"Ģertrūdes iela 59, Latgales priekšpilsēta, Rīga, LV-1011",50,Bar,56.952384,24.132021
Aussie Backpackers Pub,Active,https://www.facebook.com/AussiePubRiga,"Vaļņu iela 43, Centra rajons, Rīga, LV-1050",50,Bar,56.946743,24.113776
Autentika,Inactive,https://www.facebook.com/autentika.b2,"Bruņinieku iela 2, Centra rajons, Rīga, LV-1010",70,Bar,56.96081,24.122917
B Bārs,Active,https://www.facebook.com/bbarsrestorans,"Doma laukums 2, Centra rajons, Rīga, LV-1050",n/a,Restaurant,56.94933,24.103513
Balodis,Active,https://www.facebook.com/balodistorni/,"Baložu iela 16a, Zemgales priekšpilsēta, Rīga, LV-1048",150,Open-air Venue,56.945915,24.071992
Blues House,Inactive,https://www.facebook.com/BluesHouseRiga,"Jura Alunāna iela 2a, Centra rajons, Rīga, LV-1010",n/a,Bar,56.956057,24.109616
Bolderāja,Active,https://www.facebook.com/bolderaja27,"Avotu 29 Riga, Latvia-LV-1009",50,"Bookshop, Bar",56.95128,24.135034
Brūklene,Active,facebook.com/BrukleneShop,"Stabu iela 42, Centra rajons, Rīga, LV-1011",n/a,Bike Shop,56.954902,24.130939
Cafe Leningrad,Inactive,https://www.facebook.com/cafeleningrad,"Krišjāņa Valdemāra iela 4, Centra rajons, Rīga, LV-1050",70,Bar,56.954531,24.108911
Čē,Active,https://www.facebook.com/exchomskybar,"Dzirnavu iela 82 Riga, Latvia-LV-1050",70,Bar,56.95108,24.122607
Chomsky,Inactive,https://www.facebook.com/chomskybar,"Dzirnavu iela 82 Riga, Latvia-1050",n/a,Bar,56.95108,24.122607
Club Essential,Inactive,,"Skolas iela 2, Centra rajons, Rīga, LV-1010",n/a,Club,56.955838,24.115678
Collegium Musicum Riga,Active,https://www.facebook.com/CollegiumMusicumRiga,"Vaļņu iela 9-3, Centra rajons, Rīga, LV-1050",n/a,Concert Hall,56.950293,24.11017
ConTakts,Active,https://www.facebook.com/conTaktsKulturvieta,"Tallinas iela 10, Riga, Latvia-LV-1046",n/a,Cultural Centre,56.964309,24.134795
Cuba Cafe,Active,facebook.com/CubaCafeRiga,"Jauniela 15, Centra rajons, Rīga, LV-1050",n/a,Bar,56.948978,24.105961
D27,Inactive,https://www.facebook.com/Dzirnavu27,"Dzirnavu iela 27, Centra rajons, Rīga, LV-1010",70,Cultural Centre,56.959601,24.111485
Daudz Laša,Active,https://www.facebook.com/daudzlasha,"Avotu iela 41, Latgales priekšpilsēta, Rīga, LV-1009",n/a,Restaurant,56.951773,24.137405
Daugavgrīvas cietoksnis,Inactive,https://www.facebook.com/daugavgrivas.cietoksnis,"Birzes iela 2, Kurzemes rajons, Rīga, LV-1016",1500,Pop-up Venue,57.042543,24.042162
de flou,Inactive,https://www.facebook.com/deflouRiga,"Aristida Briāna iela 9a-2, Centra rajons, Rīga, LV-1001",n/a,Club,56.965227,24.130692
Dēkains,Inactive,https://www.facebook.com/Dekainis2022,"Baložu iela 12, Zemgales priekšpilsēta, Rīga, LV-1048",n/a,Bar,56.944903,24.073729
DEPO,Active,https://www.facebook.com/klubsDEPO,"Vaļņu ielā 32, Riga, Latvia",150,Club,56.946785,24.114095
Digital Art House,Active,https://www.facebook.com/TheDigitalArtHouse,"Skolas iela 2, Centra rajons, Rīga, LV-1010",n/a,"Art Gallery, Club",56.955838,24.115678
DJ's Bārs,Active,facebook.com/djbar.lv,"Mazā Jaunavu iela 5, Centra rajons, Rīga, LV-1050",n/a,Bar,56.948646,24.107976
Echo Sound Bar,Active,facebook.com/EchoSoundBar,Bruņinieku iela 69A,100,Bar,56.953946,24.13644
eS14,Active,https://www.facebook.com/es14.kc,Sīmaņa iela 14,100,Cultural Centre,56.993911,24.130808
Fab Cafe,Inactive,,,50,Cafe,,
Fiesta,Inactive,https://www.facebook.com/fiesta.bar.riga,"Ģertrūdes iela 19/21, Centra rajons, Rīga, LV-1011",50,Bar,56.956591,24.124437
First Club,Active,https://www.facebook.com/FirstNightclub/,"Andrejostas iela 5k-3, Ziemeļu rajons, Rīga, LV-1050",400,Club,56.961645,24.096263
Folkklubs Ala Pagrabs,Active,https://www.facebook.com/folkklubs,"Peldu iela 19, Centra rajons, Rīga, LV-1050",100,Bar,56.946174,24.107818
Fukushima,Active,https://www.facebook.com/fukushima.lv,"Matrožu iela 9, Kurzemes rajons, Rīga, LV-1048",150,Open-air Venue,56.964868,24.080296
Galerija Istaba,Active,https://www.facebook.com/galerijaISTABA,"K.Barona 31b, Riga, Latvia",50,Gallery,56.954152,24.126724
Ģertrūdes ielas teātris,Active,https://www.facebook.com/gertrudesielasteatris,"Ģertrūdes iela 101a, Latgales priekšpilsēta, Rīga, LV-1009",400,Theatre,56.950243,24.13831
Greenwood bar,Active,facebook.com/Greenwoodbar,"Krāmu iela 3, Jaunielas puse, Rīga, LV-1050",n/a,Bar,56.94862,24.105949
H2O 6 kvartāls,Active,https://www.facebook.com/H2O6.kvartals,"Aisteres iela 2, Durbes Iela 4, Rīga, LV-1048",n/a,Concert Hall,56.953272,24.072933
Hāgensberga Pagalms,Active,https://www.facebook.com/HagensbergaPagalms,"Slokas iela 15, Zemgales priekšpilsēta, Rīga, LV-1048",150,Open-air Venue,56.946012,24.073518
